infinitive,eu,tu,el/ea,noi,voi,ei/ele
bea,beau,bei,bea,bem,beți,beau
spăla,spăl,speli,spală,spălăm,spălați,spală
trezi,trezesc,trezești,trezește,trezim,treziți,trezesc
coborî,cobor,cobori,coboară,coborâm,coborâți,coboară
urca,urc,urci,urcă,urcăm,urcați,urcă
avea,am,ai,are,avem,aveți,au
picta,pictez,pictezi,pictează,pictăm,pictați,pictează
cânta,cânt,cânți,cântă,cântăm,cântați,cântă
scrie,scriu,scrii,scrie,scriem,scrieți,scriu
citi,citesc,citești,citește,citim,citiți,citesc
învăța,învăț,înveți,învață,învățăm,învățați,învață
vrea,vreau,vrei,vrea,vrem,vreți,vor
naște,nasc,naști,naște,naștem,nașteți,nasc
face,fac,faci,face,facem,faceți,fac
juca,joc,joci,joacă,jucăm,jucați,joacă
costuma,costumez,costumezi,costumează,costumăm,costumați,costumează
îmbrăca,îmbrac,îmbraci,îmbracă,îmbrăcăm,îmbrăcați,îmbracă
dezbrăca,dezbrac,dezbraci,dezbracă,dezbrăcăm,dezbrăcați,dezbracă
încălța,încalț,încalți,încalță,încălțăm,încălțați,încalță
descălța,descalț,descalți,descalță,descălțăm,descălțați,descalță
cumpăra,cumpăr,cumperi,cumpără,cumpărăm,cumpărați,cumpără
merge,merg,mergi,merge,mergem,mergeți,merg
locui,locuiesc,locuiești,locuiește,locuim,locuiți,locuiesc
sta,stau,stai,stă,stăm,stați,stau
duce,duc,duci,duce,ducem,duceți,duc
câștiga,câștig,câștigi,câștigă,câștigăm,câștigați,câștigă
îngriji,îngrijesc,îngrijești,îngrijește,îngrijim,îngrijiți,îngrijesc
iubi,iubesc,iubești,iubește,iubim,iubiți,iubesc
vedea,văd,vezi,vede,vedem,vedeți,văd
ședea,șed,șezi,șade,ședem,ședeți,șed
putea,pot,poți,poate,putem,puteți,pot
plăcea,plac,placi,place,plăcem,plăceți,plac
tăcea,tac,taci,tace,tăcem,tăceți,tac
părea,par,pari,pare,părem,păreți,par
încăpea,încap,încapi,încape,încăpem,încăpeți,încap
cădea,cad,cazi,cade,cădem,cădeți,cad
trasa,trasez,trasezi,trasează,trasăm,trasați,trasează
schimba,schimb,schimbi,schimbă,schimbăm,schimbați,schimbă
lucra,lucrez,lucrezi,lucrează,lucrăm,lucrați,lucrează
intra,intru,intri,intră,intrăm,intrați,intră
umbla,umblu,umbli,umblă,umblăm,umblați,umblă
afla,aflu,afli,află,aflăm,aflați,află
da,dau,dai,dă,dăm,dați,dau
continua,continui,continui,continuă,continuăm,continuați,continuă
uda,ud,uzi,udă,udăm,udați,udă
căuta,caut,cauți,caută,căutăm,căutați,caută
lăsa,las,lași,lasă,lăsăm,lăsați,lasă
asista,asist,asiști,asistă,asistăm,asistați,asistă
risca,risc,riști,riscă,riscăm,riscați,riscă
ridica,ridic,ridici,ridică,ridicăm,ridicați,ridică
ierta,iert,ierți,iartă,iertăm,iertați,iartă
pleca,plec,pleci,pleacă,plecăm,plecați,pleacă
prezenta,prezint,prezinți,prezintă,prezentăm,prezentați,prezintă
înota,înot,înoți,înoată,înotăm,înotați,înoată
semăna,semăn,semeni,seamănă,semănăm,semănați,seamănă
mânca,mănânc,mănânci,mănâncă,mâncăm,mâncați,mănâncă
speria,sperii,sperii,sperie,speriem,speriați,sperie
încheia,închei,închei,încheie,încheiem,încheiați,încheie
tăia,tai,tai,taie,tăiem,tăiați,taie
încuia,încui,încui,încuie,încuiem,încuiați,încuie
studia,studiez,studiezi,studiază,studiem,studiați,studiază
copia,copiez,copiezi,copiază,copiem,copiați,copiază
expedia,expediez,expediezi,expediază,expediem,expediați,expediază
înapoia,înapoiez,înapoiezi,înapoiază,înapoiem,înapoiați,înapoiază
trece,trec,treci,trece,trecem,treceți,trec
pune,pun,pui,pune,punem,puneți,pun
ține,țin,ții,ține,ținem,țineți,țin
rupe,rup,rupi,rupe,rupem,rupeți,rup
zice,zic,zici,zice,zicem,ziceți,zic
crede,cred,crezi,crede,credem,credeți,cred
permite,permit,permiți,permite,permitem,permiteți,permit
coase,cos,coși,coase,coasem,coaseți,cos
crește,cresc,crești,crește,creștem,creșteți,cresc
plânge,plâng,plângi,plânge,plângem,plângeți,plâng
vinde,vând,vinzi,vinde,vindem,vindeți,vând
scoate,scot,scoți,scoate,scoatem,scoateți,scot
spune,spun,spui,spune,spunem,spuneți,spun
umple,umplu,umpli,umple,umplem,umpleți,umple
fugi,fug,fugi,fuge,fugim,fugiți,fug
vorbi,vorbesc,vorbești,vorbește,vorbim,vorbiți,vorbesc
oferi,ofer,oferi,oferă,oferim,oferiți,oferă
acoperi,acopăr,acoperi,acoperă,acoperim,acoperiți,acoperă
sui,sui,sui,suie,suim,suiți,suie
ști,știu,știi,știe,știm,știți,știu
auzi,aud,auzi,aude,auzim,auziți,aud
simți,simt,simţi,simte,simțim,simțiți,simt
ieși,ies,ieși,iese,ieșim,ieșiți,ies
mirosi,miros,miroși,miroase,mirosim,mirosiți,miros
veni,vin,vii,vine,venim,veniți,vin
sări,sar,sari,sare,sărim,săriți,sar
muri,mor,mori,moare,murim,muriți,mor
dormi,dorm,dormi,doarme,dormim,dormiți,dorm
